amplitude [Vpp],frequency [Hz],reflection/transmission
0.38166666666666665,1560000.0,0.9690635145090993
0.38166666666666665,1560666.6666666667,0.9628796798632612
0.38166666666666665,1561333.3333333333,0.9757310467806851
0.38166666666666665,1562000.0,0.9755709442761208
0.38166666666666665,1562666.6666666667,0.9695640217594014
0.38166666666666665,1563333.3333333333,0.9693584236504267
0.38166666666666665,1564000.0,0.9696106068585235
0.38166666666666665,1564666.6666666667,0.9691527143795673
0.38166666666666665,1565333.3333333333,0.9689898400432825
0.38166666666666665,1566000.0,0.9696921415546939
0.38166666666666665,1566666.6666666667,0.9759498082955733
0.38166666666666665,1567333.3333333333,0.9564829607896773
0.38166666666666665,1568000.0,0.9689886986217044
0.38166666666666665,1568666.6666666667,0.9694204125456837
0.38166666666666665,1569333.3333333333,0.9687444353053906
0.38166666666666665,1570000.0,0.9694426574498408
0.38166666666666665,1570666.6666666667,0.9687987053993231
0.38166666666666665,1571333.3333333333,0.9752704059133042
0.38166666666666665,1572000.0,0.9692652071898913
0.38166666666666665,1572666.6666666667,0.9688878766123474
0.38166666666666665,1573333.3333333333,0.9691011786970364
0.38166666666666665,1574000.0,0.9636989206663875
0.38166666666666665,1574666.6666666667,0.9688812875628122
0.38166666666666665,1575333.3333333333,0.9693611463419959
0.38166666666666665,1576000.0,0.962821861521616
0.38166666666666665,1576666.6666666667,0.9630338960619673
0.38166666666666665,1577333.3333333333,0.9623942215069353
0.38166666666666665,1578000.0,0.9628296265444611
0.38166666666666665,1578666.6666666667,0.955856026621175
0.38166666666666665,1579333.3333333333,0.9686591660126076
0.38166666666666665,1580000.0,0.9624982070843391
0.38166666666666665,1580666.6666666667,0.9627100990813197
0.38166666666666665,1581333.3333333333,0.9629220843940164
0.38166666666666665,1582000.0,0.9627852103922079
0.38166666666666665,1582666.6666666667,0.9627139773538428
0.38166666666666665,1583333.3333333333,0.9557412917722228
0.38166666666666665,1584000.0,0.9571902165323217
0.38166666666666665,1584666.6666666667,0.9565544286038005
0.38166666666666665,1585333.3333333333,0.9509911879140909
0.38166666666666665,1586000.0,0.9629470223851028
0.38166666666666665,1586666.6666666667,0.9566773395569566
0.38166666666666665,1587333.3333333333,0.9565820602182363
0.38166666666666665,1588000.0,0.956421247008896
0.38166666666666665,1588666.6666666667,0.9629011856921837
0.38166666666666665,1589333.3333333333,0.9564710167479524
0.38166666666666665,1590000.0,0.9563102408688536
0.38166666666666665,1590666.6666666667,0.9498782861693729
0.38166666666666665,1591333.3333333333,0.9564908672815099
0.38166666666666665,1592000.0,0.9429690395663454
0.38166666666666665,1592666.6666666667,0.943176604840298
0.38166666666666665,1593333.3333333333,0.9489487252504953
0.38166666666666665,1594000.0,0.9425246087385342
0.38166666666666665,1594666.6666666667,0.9361395161539999
0.38166666666666665,1595333.3333333333,0.9425494966474072
0.38166666666666665,1596000.0,0.9356208226645185
0.38166666666666665,1596666.6666666667,0.9291897298109736
0.38166666666666665,1597333.3333333333,0.9232798992777711
0.38166666666666665,1598000.0,0.9162445160961552
0.38166666666666665,1598666.6666666667,0.91595170553514
0.38166666666666665,1599333.3333333333,0.9161533504157177
0.38166666666666665,1600000.0,0.9043144379523377
0.38166666666666665,1600666.6666666667,0.8971173848690135
0.38166666666666665,1601333.3333333333,0.896397480110825
0.38166666666666665,1602000.0,0.8837949539766248
0.38166666666666665,1602666.6666666667,0.8706774773893955
0.38166666666666665,1603333.3333333333,0.8606884233459022
0.38166666666666665,1604000.0,0.8457203389077745
0.38166666666666665,1604666.6666666667,0.8195274809396962
0.38166666666666665,1605333.3333333333,0.7934719983141035
0.38166666666666665,1606000.0,0.7623742504633876
0.38166666666666665,1606666.6666666667,0.7316053683571252
0.38166666666666665,1607333.3333333333,0.6851525791053301
0.38166666666666665,1608000.0,0.6146043019587395
0.38166666666666665,1608666.6666666667,0.5376912022218335
0.38166666666666665,1609333.3333333333,0.44857125529398684
0.38166666666666665,1610000.0,0.3502417799907486
0.38166666666666665,1610666.6666666667,0.24885809109284202
0.38166666666666665,1611333.3333333333,0.1880193822653473
0.38166666666666665,1612000.0,0.19270018218029963
0.38166666666666665,1612666.6666666667,0.26226287529861203
0.38166666666666665,1613333.3333333333,0.3556139732824058
0.38166666666666665,1614000.0,0.4420170636906297
0.38166666666666665,1614666.6666666667,0.5242504753324944
0.38166666666666665,1615333.3333333333,0.5936333501295104
0.38166666666666665,1616000.0,0.6429526508003391
0.38166666666666665,1616666.6666666667,0.6910813888179129
0.38166666666666665,1617333.3333333333,0.7319813537590586
0.38166666666666665,1618000.0,0.7575041200701339
0.38166666666666665,1618666.6666666667,0.78278580288904
0.38166666666666665,1619333.3333333333,0.8037386574232093
0.38166666666666665,1620000.0,0.8190226879103933
0.38166666666666665,1620666.6666666667,0.8395730497789325
0.38166666666666665,1621333.3333333333,0.849485176110749
0.38166666666666665,1622000.0,0.8713627311522049
0.38166666666666665,1622666.6666666667,0.8713440696687852
0.38166666666666665,1623333.3333333333,0.8909493680088709
